,Sector,Year,Postfix,GM_0,GM_1,GM_2,GM_3,GM_4
0,agriculture,13,12,0.0,0.0,0.0,0.0,0.0
1,agriculture,14,13,0.0,0.0,0.0,0.0,0.0
2,agriculture,15,14,0.0,0.0,0.0,0.0,0.0
3,agriculture,16,15,0.0,0.0,0.0,0.0,0.0
